id,title,isPartOf,publicationYear,doi,docType,provider,datePublished,issueNumber,volumeNumber,url,creator,publisher,language,pageStart,pageEnd,placeOfPublication,wordCount,pageCount,outputFormat
ark://27927/pgh1fxtt9jk,The Intelligibility of the Universe,Royal Institute of Philosophy Supplements,2001,10.1017/S1358246100010717,article,portico,2001-09-01,null,48,http://doi.org/10.1017/S1358246100010717,Michael Redhead,Cambridge University Press,eng,73,90,,6428,18,unigram; bigram; trigram
http://www.jstor.org/stable/119758,An Open Set of Maps for which Every Point is Absolutely Nonshadowable,Proceedings of the American Mathematical Society,2000,,article,jstor,2000-03-01,3,128,http://www.jstor.org/stable/119758,Guo-Cheng Yuan; James A. Yorke,American Mathematical Society,eng,909,918,,5475,10,unigram; bigram; trigram
http://www.jstor.org/stable/44238161,ARC APPROXIMATION PROPERTY AND CONFLUENCE OF INDUCED MAPPINGS,The Rocky Mountain Journal of Mathematics,1998,,article,jstor,1998-04-01,1,28,http://www.jstor.org/stable/44238161,WLODZIMIERZ J. CHARATONIK,Rocky Mountain Mathematics Consortium,eng,107,154,,16474,48,unigram; bigram; trigram
ark://27927/phz6cjnhdfm,"MEASUREMENTS OF INPLANE POLARIZATION TRANSFER COEFFICIENT IN 24Mg(p,p') REACTION AT Ep=65 MeV",Journal de Physique Colloques,1990,10.1051/jphyscol:1990641,article,portico,1990-11-01,C6,51,http://doi.org/10.1051/jphyscol:1990641,M. YOSOI; F. HIEI; Y. SAKEMI; M. NAKAMURA; T. NAKANO; M. IWAKI; T. MURAKAMI; H. TOGAWA; S. HIRATA; S. KOBAYASHI; Y. NAKAI; H. KANEKO; O. KAMIGAITO; H. SAKAGUCHI,EDP Sciences,eng,C6-415,C6-418,,1614,4,unigram; bigram; trigram
ark://27927/pgj2xkw536,The projective fundamental group of a ℤ2-shift,Ergodic Theory and Dynamical Systems,1995,10.1017/S0143385700009810,article,portico,1995-12-01,6,15,http://doi.org/10.1017/S0143385700009810,William Geller; James Propp,Cambridge University Press,eng,1091,1118,,15587,28,unigram; bigram; trigram
ark://27927/pgj2f64sj0w,Work Study Volume 16 Issue 6,Work Study,1967,10.1108/eb048220,article,portico,1967-06-01,6,16,http://doi.org/10.1108/eb048220,,Emerald Group Publishing,eng,5,48,,19848,42,unigram; bigram; trigram
http://www.jstor.org/stable/20520625,A Convenient Method of Measuring the Intensity of Nuclear Scattering of Fast β-Particles in the Cloud Chamber,Proceedings of the Royal Irish Academy. Section A: Mathematical and Physical Sciences,1944,,article,jstor,1944-01-01,,50,http://www.jstor.org/stable/20520625,C. Ó Ceallaigh; M. D. Mac Cárthaigh,Royal Irish Academy,eng,13,27,,5189,16,unigram; bigram; trigram
ark://27927/phzcq2f6scw,Estimating Soil Hydraulic Properties During Constant Flux Infiltration Inverse Procedures,Soil Science Society of America Journal,2000,10.2136/sssaj2000.642439x,article,portico,2000-03-01,2,64,http://doi.org/10.2136/sssaj2000.642439x,R. G. Kachanoski; B. C. Si,"John Wiley & Sons, Inc.",eng,439,449,,8217,11,unigram; bigram; trigram
http://www.jstor.org/stable/2373198,Embeddings of Topological Products of K-Cell-Like Continua,American Journal of Mathematics,1966,,article,jstor,1966-04-01,2,88,http://www.jstor.org/stable/2373198,L. Fearnley,Johns Hopkins University Press,eng,347,356,,4100,10,unigram; bigram; trigram
ark://27927/pgjc469zg6,Constrained image‐based B0 shimming accounting for “local minimum traps” in the optimization and field inhomogeneities outside the region of interest,Magnetic Resonance in Medicine,2015,10.1002/mrm.25248,article,portico,2015-04-01,4,73,http://doi.org/10.1002/mrm.25248,Ariane Fillmer; Thomas Kirchner; Donnie Cameron; Anke Henning,"John Wiley & Sons, Inc.",eng,1370,1380,,8521,11,unigram; bigram; trigram
ark://27927/phxm6s5gx8,A numerical analysis of time‐dependent two‐dimensional magnetic fields,International Journal for Numerical Methods in Engineering,1983,10.1002/nme.1620190707,article,portico,1983-07-01,7,19,http://doi.org/10.1002/nme.1620190707,John A. Macbain,"John Wiley & Sons, Inc.",eng,1033,1045,,3501,13,unigram; bigram; trigram
http://www.jstor.org/stable/1968911,Continuous Mappings of Infinite Polyhedra,Annals of Mathematics,1941,,article,jstor,1941-04-01,2,42,http://www.jstor.org/stable/1968911,Samuel Eilenberg,Annals of Mathematics,eng,459,468,,4734,10,unigram; bigram; trigram
ark://27927/pgk3jtkft2c,Lyapunov spectrum for multimodal maps,Ergodic Theory and Dynamical Systems,2014,10.1017/etds.2014.135,article,portico,2015-03-19,5,36,http://doi.org/10.1017/etds.2014.135,FELIKS PRZYTYCKI; KATRIN GELFERT; MICHAŁ RAMS,Cambridge University Press,eng,1441,1493,,26578,53,unigram; bigram; trigram
ark://27927/phz6g7cts09,FURTHER IMPROVEMENT OF GALETTE COILS,Journal de Physique Colloques,1984,10.1051/jphyscol:1984112,article,portico,1984-01-01,C1,45,http://doi.org/10.1051/jphyscol:1984112,Yu. K. Katrukhin; B. P. Khrustalev; A. P. Doroshenko; T. V. Shulgina; K. Trojnar,EDP Sciences,eng,C1-59,C1-62,,1911,4,unigram; bigram; trigram
ark://27927/phz8b8qph98,Distribution of molecular weight and of branching in high molecular weight polymers from bisphenol a and epichlorohydrin,Journal of Polymer Science Part A: General Papers,1964,10.1002/pol.1964.100020614,article,portico,1964-06-01,6,2,http://doi.org/10.1002/pol.1964.100020614,J. R. Dagon; G. E. Myers,"John Wiley & Sons, Inc.",eng,2631,2645,,5331,15,unigram; bigram; trigram
http://www.jstor.org/stable/1194004,Tree-like Continua and 2-to-1 Maps,Proceedings of the American Mathematical Society,2004,,article,jstor,2004-01-01,1,132,http://www.jstor.org/stable/1194004,Jo Heath; Van C. Nall,American Mathematical Society,eng,283,289,,3840,7,unigram; bigram; trigram
http://www.jstor.org/stable/52167,The Geometric Phase for Chaotic Systems,Proceedings: Mathematical and Physical Sciences,1992,,article,jstor,1992-03-09,1898,436,http://www.jstor.org/stable/52167,J. M. Robbins; M. V. Berry,The Royal Society,eng,631,661,,13210,31,unigram; bigram; trigram
ark://27927/phxb1x3ztk,Über die Widerstandszunahme unterteilter Leiter bei schnellen Schwingungen,Annalen der Physik,1911,10.1002/andp.19113411403,article,portico,1911-01-01,14,341,http://doi.org/10.1002/andp.19113411403,H. G. Möller,"John Wiley & Sons, Inc.",eng,738,778,,9881,41,unigram; bigram; trigram
ark://27927/pgk1q6bz42w,A new predictor–corrector approach for the numerical integration of coupled electromechanical equations,International Journal for Numerical Methods in Engineering,2016,10.1002/nme.4974,article,portico,2016-01-27,4,105,http://doi.org/10.1002/nme.4974,A. Musolino; E. Tripodi; R. Rizzo; M. Raugi,"John Wiley & Sons, Inc.",eng,261,285,,11409,25,unigram; bigram; trigram
ark://27927/phz6pv4kd3g,Translation numbers for a class of maps on the dynamical systems arising from quasicrystals in the real line,Ergodic Theory and Dynamical Systems,2010,10.1017/S0143385709000145,article,portico,2010-04-01,2,30,http://doi.org/10.1017/S0143385709000145,JOSÉ ALISTE-PRIETO,Cambridge University Press,eng,565,594,,15416,30,unigram; bigram; trigram
http://www.jstor.org/stable/24902781,Front Matter,Indiana University Mathematics Journal,2001,,article,jstor,2001-12-01,4,50,http://www.jstor.org/stable/24902781,,Indiana University Mathematics Department,eng,,,,3317,19,unigram; bigram; trigram
http://www.jstor.org/stable/3845508,Back Matter,Transactions of the American Mathematical Society,2006,,article,jstor,2006-06-01,6,358,http://www.jstor.org/stable/3845508,,American Mathematical Society,eng,,,,2937,7,unigram; bigram; trigram
ark://27927/phzf1nmbj7c,Simultaneous correction of sensitivity and spatial resolution in projection‐based magnetic particle imaging,Medical Physics,2020,10.1002/mp.14056,article,portico,2020-04-01,4,47,http://doi.org/10.1002/mp.14056,Kenya Murase,"John Wiley & Sons, Inc.",eng,1845,1859,,11213,15,unigram; bigram; trigram
ark://27927/pghq86kzn1,Squirals and beyond: substitution tilings with singular continuous spectrum,Ergodic Theory and Dynamical Systems,2014,10.1017/etds.2012.191,article,portico,2013-03-20,4,34,http://doi.org/10.1017/etds.2012.191,UWE GRIMM; MICHAEL BAAKE,Cambridge University Press,eng,1077,1102,,11573,26,unigram; bigram; trigram
ark://27927/pgj2z7s7k1v,Modeling and implementation of a fully autonomous soccer robot based on omni‐directional vision system,The Industrial Robot,2010,10.1108/01439911011037686,article,portico,2010-05-03,3,37,http://doi.org/10.1108/01439911011037686,"S.Hamidreza Kasaei,S.Mohammadreza Kasaei,S.Alireza Kasaei,S.Amir Hassan Monadjemi,MohsenTaheri",Emerald Group Publishing,eng,279,286,,5388,8,unigram; bigram; trigram
ark://27927/pgk2n6jkwbn,Handling Uncertainties in Fault Tree Analysis by a Hybrid Probabilistic–Possibilistic Framework,Quality and Reliability Engineering International,2016,10.1002/qre.1821,article,portico,2016-04-01,3,32,http://doi.org/10.1002/qre.1821,Dong Wang; Xiang Jia; Bo Guo; Yan Zhang; Ping Jiang,"John Wiley & Sons, Inc.",eng,1137,1148,,7403,12,unigram; bigram; trigram
ark://27927/phzgkvwqx3n,Group actions on Smale space -algebras,Ergodic Theory and Dynamical Systems,2020,10.1017/etds.2019.11,article,portico,2020-09-01,9,40,http://doi.org/10.1017/etds.2019.11,ROBIN J. DEELEY; KAREN R. STRUNG,Cambridge University Press,eng,2368,2398,,15345,31,unigram; bigram; trigram
http://www.jstor.org/stable/23558811,Back Matter,Proceedings of the American Mathematical Society,2012,,article,jstor,2012-12-01,12,140,http://www.jstor.org/stable/23558811,,American Mathematical Society,eng,,,,17200,43,unigram; bigram; trigram
ark://27927/pgg1rvbgzsf,"EFFECTS OF FOOD‐PELLET SIZE ON RATE, LATENCY, AND TOPOGRAPHY OF AUTOSHAPED KEY PECKS AND GAPES IN PIGEONS",Journal of the Experimental Analysis of Behavior,1996,10.1901/jeab.1996.65-21,article,portico,1996-01-01,1,65,http://doi.org/10.1901/jeab.1996.65-21,Bertram O. Ploog; H. P. Zeigler,"John Wiley & Sons, Inc.",eng,21,35,,8837,15,unigram; bigram; trigram
ark://27927/pf1jzjfhf7,ETS volume 29 issue 3 Cover and Back matter,Ergodic Theory and Dynamical Systems,2009,10.1017/S0143385709000467,article,portico,2009-06-01,3,29,http://doi.org/10.1017/S0143385709000467,unattributed,Cambridge University Press,eng,b1,b6,,3842,6,unigram; bigram; trigram
ark://27927/phx7vg9k4j4,A Control Architecture for Robotic Excavation in Construction,Computer-Aided Civil and Infrastructure Engineering,2004,10.1111/j.1467-8667.2004.00335.x,article,portico,2004-01-01,1,19,http://doi.org/10.1111/j.1467-8667.2004.00335.x,D. C. Rye; Q. P. Ha,"John Wiley & Sons, Inc.",eng,28,41,,6898,14,unigram; bigram; trigram
ark://27927/pgg1bjw0qth,Structural stability of attractor–repellor endomorphisms with singularities,Ergodic Theory and Dynamical Systems,2011,10.1017/S0143385710000878,article,portico,2011-06-10,1,32,http://doi.org/10.1017/S0143385710000878,PIERRE BERGER,Cambridge University Press,eng,1,33,,17078,33,unigram; bigram; trigram
ark://27927/phz9f57mdgg,Incorporating artificial skin signals in the constraint-based reactive control of human–robot collaborative manipulation tasks,The Industrial Robot,2019,10.1108/IR-08-2018-0172,article,portico,2019-05-20,3,46,http://doi.org/10.1108/IR-08-2018-0172,Vergara Cristian Alejandro; De Schutter Joris; Borghesan Gianni; Aertbeliën Erwin,Emerald Group Publishing,eng,360,368,,6734,9,unigram; bigram; trigram
ark://27927/phx1rzk5t5s,Ein Theorem über die stationäre Wirbelbewegung kompressibler Flüssigkeiten,ZAMM - Journal of Applied Mathematics and Mechanics / Zeitschrift für Angewandte Mathematik und Mechanik,1949,10.1002/zamm.19490290402,article,portico,1949-01-01,4,29,http://doi.org/10.1002/zamm.19490290402,Hilding Köhler; Hans Ertel,"John Wiley & Sons, Inc.",eng,109,113,,3692,5,unigram; bigram; trigram
ark://27927/phzgdswpdxx,Heisenberg Modules over Quantum 2-tori are Metrized Quantum Vector Bundles,Canadian Journal of Mathematics,2019,10.4153/S0008414X19000166,article,portico,2019-03-28,4,72,http://doi.org/10.4153/S0008414X19000166,Frédéric Latrémolière,Cambridge University Press,eng,1044,1081,,16510,38,unigram; bigram; trigram
http://www.jstor.org/stable/44236564,"PERIODIC, NONPERIODIC AND IRREGULAR MOTIONS IN A HAMILTONIAN SYSTEM",The Rocky Mountain Journal of Mathematics,1980,,article,jstor,1980-10-01,4,10,http://www.jstor.org/stable/44236564,PHILIP HOLMES,Rocky Mountain Mathematics Consortium,eng,679,693,,6039,15,unigram; bigram; trigram
http://www.jstor.org/stable/40784323,Holonomy Interpretation and Time: An Incompatible Match? A Critical Discussion of R. Healey's Gauging What's Real: The Conceptual Foundations of Contemporary Gauge Theories,Erkenntnis (1975-),2010,,article,jstor,2010-05-01,3,72,http://www.jstor.org/stable/40784323,Antigone M. Nounou,Springer,eng,387,409,,11085,23,unigram; bigram; trigram
ark://27927/phz6pv4kfg2,ETS volume 29 issue 5 Cover and Back matter,Ergodic Theory and Dynamical Systems,2009,10.1017/S0143385709000893,article,portico,2009-10-01,5,29,http://doi.org/10.1017/S0143385709000893,,Cambridge University Press,eng,b1,b6,,4028,6,unigram; bigram; trigram
ark://27927/pgg2hvtdkbk,Active Reflectors: Possible Solutions Based on Reflectarrays and Fresnel Reflectors,International Journal of Antennas and Propagation,2009,10.1155/2009/653952,article,portico,2009-03-16,null,2009,http://doi.org/10.1155/2009/653952,Julio Gutiérrez-Ríos; José Ángel García; Lorena Cabria; Antonio Tazón; Giovanni Toso; Juan Vassal'lo,Hindawi,eng,null,,,8709,13,unigram; bigram; trigram
ark://27927/phxdxzk7v6,Static magnetization irreversibilities in soft ferromagnetic media of high crystalline perfection,Physica Status Solidi (A),1988,10.1002/pssa.2211100126,article,portico,1988-11-16,1,110,http://doi.org/10.1002/pssa.2211100126,U. Hartmann,"John Wiley & Sons, Inc.",eng,247,257,,3791,11,unigram; bigram; trigram
ark://27927/phx4m99c3f9,Modeling and Calibration for Crack Detection in Circular Shafts Supported on Bearings Using Lateral and Torsional Vibration Measurements,Advances in Mechanical Engineering,2012,10.1155/2012/519471,article,portico,2012-01-01,null,4,http://doi.org/10.1155/2012/519471,A. S. J. Swamidas; A. Akinturk; M. R. Haddara; A. Tlaisi,SAGE Publications,eng,,,,9608,18,unigram; bigram; trigram
ark://27927/pbd6fr0p7n,1 History and background,"geometry and physics of knots, TheThe geometry and physics of knots",2009,10.1017/CBO9780511623868.002,chapter,portico,2009-01-01,,,https://doi.org/10.1017/CBO9780511623868.002,Michael Atiyah,Cambridge University Press,eng,1,11,,2695,11,unigram; bigram; trigram
http://www.jstor.org/stable/2159860,Every Attractor of a Flow on a Manifold has the Shape of a Finite Polyhedron,Proceedings of the American Mathematical Society,1993,,article,jstor,1993-09-01,1,119,http://www.jstor.org/stable/2159860,Bernd Günther; Jack Segal,American Mathematical Society,eng,321,329,,4538,9,unigram; bigram; trigram
ark://27927/pgh1sw609xc,Approximability of Optimization Problems through Adiabatic Quantum Computation,Synthesis Lectures on Quantum Computing,2014,"
10.2200/S00596ED1V01Y201409QMC009
",article,portico,2014-09-30,3,5,"http://doi.org/
10.2200/S00596ED1V01Y201409QMC009
",William Cruz-Santos; Guillermo Morales-Luna,Morgan & Claypool Publishers,eng,1,113,,38518,113,unigram; bigram; trigram
ark://27927/phxbhx5kx1,A dictionary of documentation terms,American Documentation,1960,10.1002/asi.5090110204,article,portico,1960-04-01,2,11,http://doi.org/10.1002/asi.5090110204,Frank S. Wagner JR.,"John Wiley & Sons, Inc.",eng,102,119,,11890,18,unigram; bigram; trigram
ark://27927/pgg40hndztm,Two electric generators suitable for the measurement of magnetic intensities and their variations and for other purposes,Terrestrial Magnetism and Atmospheric Electricity,1946,10.1029/TE051i002p00147,article,portico,1946-01-01,2,51,http://doi.org/10.1029/TE051i002p00147,S. J. Barnett,"John Wiley & Sons, Inc.",eng,147,162,,5242,16,unigram; bigram; trigram
http://www.jstor.org/stable/2159455,A Characterization of Finitely Junctioned Continua,Proceedings of the American Mathematical Society,1992,,article,jstor,1992-11-01,3,116,http://www.jstor.org/stable/2159455,Edwin Duda; Pawel Krupski,American Mathematical Society,eng,839,841,,1498,3,unigram; bigram; trigram
ark://27927/pgg22kr5hzz,Two-Valued Control for a Second-Order Plant with Additive External Disturbance,Mathematical Problems in Engineering,2011,10.1155/2012/527413,article,portico,2012-03-27,null,2012,http://doi.org/10.1155/2012/527413,Oded Gottlieb; Felipe Londoño; Alejandro Rincon; Fabiola Angulo,Hindawi,eng,null,,,8436,22,unigram; bigram; trigram
http://www.jstor.org/stable/44236083,PROPERTIES OF MAPPINGS AND CONTINUA THEORY,The Rocky Mountain Journal of Mathematics,1976,,article,jstor,1976-01-01,1,6,http://www.jstor.org/stable/44236083,A. LELEK,Rocky Mountain Mathematics Consortium,eng,47,59,,4984,13,unigram; bigram; trigram
ark://27927/phx2j1fnw8b,Firmenmitteilungen/Company News,Starch - Stärke,1982,10.1002/star.19820340120,article,portico,1982-01-01,1,34,http://doi.org/10.1002/star.19820340120,,"John Wiley & Sons, Inc.",eng,35,36,,1715,2,unigram; bigram; trigram
ark://27927/phzhf16zwvk,ETS volume 40 Issue 11 Cover and Front matter,Ergodic Theory and Dynamical Systems,2020,10.1017/etds.2019.98,article,portico,2020-11-01,11,40,http://doi.org/10.1017/etds.2019.98,,Cambridge University Press,eng,f1,f2,,1797,2,unigram; bigram; trigram
ark://27927/phx5qg1t779,Estimation of Squeeze-Film Damping and Inertial Coefficients from Experimental Free-Decay Data,"Proceedings of the Institution of Mechanical Engineers, Part C: Journal of  Mechanical Engineering Science",1986,10.1243/PIME_PROC_1986_200_104_02,article,portico,1986-03-01,2,200,http://doi.org/10.1243/PIME_PROC_1986_200_104_02,P J Mason; R Holmes; J B Roberts,SAGE Publications,eng,123,133,,6846,11,unigram; bigram; trigram
http://www.jstor.org/stable/29783201,Dynamical compactifications of C²,Annals of Mathematics,2011,,article,jstor,2011-01-01,1,173,http://www.jstor.org/stable/29783201,Charles Favre; Mattias Jonsson,Annals of Mathematics,eng,211,249,,18685,39,unigram; bigram; trigram
ark://27927/phx4bxz48rd,Markov partitions and homology for -solenoids,Ergodic Theory and Dynamical Systems,2015,10.1017/etds.2015.71,article,portico,2015-11-27,3,37,http://doi.org/10.1017/etds.2015.71,NIGEL D. BURKE; IAN F. PUTNAM,Cambridge University Press,eng,716,738,,9992,23,unigram; bigram; trigram
ark://27927/pgh1307f3fx,COHOMOLOGY OF THE PINWHEEL TILING,Journal of the Australian Mathematical Society,2014,10.1017/S1446788714000275,article,portico,2014-08-27,2,97,http://doi.org/10.1017/S1446788714000275,DIRK FRETTLÖH; MICHAEL F. WHITTAKER; BENJAMIN WHITEHEAD,Cambridge University Press,eng,162,179,,7569,18,unigram; bigram; trigram
http://www.jstor.org/stable/2318541,Volume Information,The American Mathematical Monthly,1973,,article,jstor,1973-12-01,10,80,http://www.jstor.org/stable/2318541,,Mathematical Association of America,eng,1187,1218,,15681,32,unigram; bigram; trigram
ark://27927/phx4zv3mbz9,Two Introductory Experiments in Electromagnetics,International Journal of Electrical Engineering Education,1986,10.1177/002072098602300203,article,portico,1986-04-01,2,23,http://doi.org/10.1177/002072098602300203,A. D. Clark; R. Freer,SAGE Publications,eng,113,120,,2681,8,unigram; bigram; trigram
ark://27927/phxfj8vdtk,The dynamics of extraction processes: Part II. Comparison of dynamic testing methods and their application to an extraction process,The Canadian Journal of Chemical Engineering,1969,10.1002/cjce.5450470616,article,portico,1969-12-01,6,47,http://doi.org/10.1002/cjce.5450470616,G. G. Pollock; A. I. Johnson,"John Wiley & Sons, Inc.",eng,565,575,,10759,11,unigram; bigram; trigram
http://www.jstor.org/stable/44236668,INDUCED SHAPE FIBRATIONS AND FIBER SHAPE EQUIVALENCE,The Rocky Mountain Journal of Mathematics,1982,,article,jstor,1982-04-01,2,12,http://www.jstor.org/stable/44236668,MAHENDRA JANI,Rocky Mountain Mathematics Consortium,eng,305,332,,12013,28,unigram; bigram; trigram
ark://27927/pgj21spr6zb,A COIL OVER A CRACK. (RESULTS FOR BENCHMARK PROBLEM 8 OF TEAM WORKSHOP),COMPEL: The International Journal for Computation and Mathematics in Electrical and Electronic Engineering,1990,10.1108/eb010072,article,portico,1990-03-01,3,9,http://doi.org/10.1108/eb010072,J.C.VERITE,Emerald Group Publishing,eng,155,167,,2770,13,unigram; bigram; trigram
ark://27927/pgj21tjs47t,Robust target functions in electromagnetic design,COMPEL: The International Journal for Computation and Mathematics in Electrical and Electronic Engineering,2003,10.1108/03321640310475029,article,portico,2003-09-01,3,22,http://doi.org/10.1108/03321640310475029,"PiergiorgioAlotto,ChristianMagele,WernerRenhart,AndreasWeber,GeraldSteiner",Emerald Group Publishing,eng,549,560,,3126,12,unigram; bigram; trigram
ark://27927/phx5d0f15cj,Pigeon Pattern Perception: Limits on Perspective Invariance,Perception,1990,10.1068/p190141,article,portico,1990-04-01,2,19,http://doi.org/10.1068/p190141,John Cerella,SAGE Publications,eng,141,159,,10776,19,unigram; bigram; trigram
http://www.jstor.org/stable/43744542,INTEGRABILITY: A DIFFICULT ANALYTICAL PROBLEM,Publicacions de la Secció de Matemàtiques,1980,,article,jstor,1980-11-01,22,,http://www.jstor.org/stable/43744542,Carles Simó,Universitat Autònoma de Barcelona,eng,71,80,,4409,10,unigram; bigram; trigram
ark://27927/pbd69x8wpd,Index,Global Analysis on Foliated SpacesGlobal Analysis on Foliated Spaces,2009,,chapter,portico,2009-01-01,,,,Calvin C. Moore; Claude L. Schochet,Cambridge University Press,eng,285,293,,2826,9,unigram; bigram; trigram
http://www.jstor.org/stable/41524922,GOLDEN TILINGS,Transactions of the American Mathematical Society,2012,,article,jstor,2012-05-01,5,364,http://www.jstor.org/stable/41524922,A. A. PINTO; J. P. ALMEIDA; A. PORTELA,American Mathematical Society,eng,2261,2280,,8278,20,unigram; bigram; trigram
ark://27927/pgk1q68tw,Design and optimization of the magnetic circuit of a mobile nuclear magnetic resonance device for magnetic resonance imaging,COMPEL: The International Journal for Computation and Mathematics in Electrical and Electronic Engineering,2001,10.1108/03321640110359985,article,portico,2001-03-01,1,20,http://doi.org/10.1108/03321640110359985,GerhardHenneberger HartmutPopella,Emerald Group Publishing,eng,269,279,,2299,10,unigram; bigram; trigram
http://www.jstor.org/stable/2045015,No Homogeneous Tree-Like Continuum Contains an Arc,Proceedings of the American Mathematical Society,1983,,article,jstor,1983-07-01,3,88,http://www.jstor.org/stable/2045015,Charles L. Hagopian,American Mathematical Society,eng,560,564,,2322,5,unigram; bigram; trigram
ark://27927/pgg1rvbcrj1,AN INVESTIGATION OF THE DIFFERENTIAL‐OUTCOMES EFFECT WITHIN SESSIONS,Journal of the Experimental Analysis of Behavior,1994,10.1901/jeab.1994.61-389,article,portico,1994-05-01,3,61,http://doi.org/10.1901/jeab.1994.61-389,B. Maxwell Jones; K. Geoffrey White,"John Wiley & Sons, Inc.",eng,389,406,,10316,18,unigram; bigram; trigram
http://www.jstor.org/stable/1996913,"The Group of PL-Homeomorphisms of a Compact PL-Manifold is an l<sup>f</sup>
               <sub>2</sub>- Manifold",Transactions of the American Mathematical Society,1974,,article,jstor,1974-06-01,,193,http://www.jstor.org/stable/1996913,James Keesling; David C. Wilson,American Mathematical Society,eng,249,256,,3613,8,unigram; bigram; trigram
http://www.jstor.org/stable/1998371,A Stable Converse to the Vietoris-Smale Theorem with Applications to Shape Theory,Transactions of the American Mathematical Society,1980,,article,jstor,1980-10-01,2,261,http://www.jstor.org/stable/1998371,Steve Ferry,American Mathematical Society,eng,369,386,,9097,18,unigram; bigram; trigram
ark://27927/phx4f1vvz1b,"An Uncountable Family of Group Automorphisms, and a Typical Member",Bulletin of the London Mathematical Society,1997,10.1112/S0024609397003330,article,portico,1997-09-01,5,29,http://doi.org/10.1112/S0024609397003330,Ward Thomas,"John Wiley & Sons, Inc.",eng,577,584,,3571,8,unigram; bigram; trigram
ark://27927/pgj1m9qn63v,Higher‐Dimensional Unification with continuous and fuzzy coset spaces as extra dimensions,Fortschritte der Physik,2015,10.1002/prop.201500022,article,portico,2015-07-01,7-8,63,http://doi.org/10.1002/prop.201500022,G. Zoupanos; G. Manolakos; D. Gavriil; G. Orfanidis,"John Wiley & Sons, Inc.",eng,442,467,,19141,26,unigram; bigram; trigram
